Number,Season,Episode,Name,Length,Rating,Year,Month,Date
1,1,1,S1E1,25.38,7.1,2014,August,22
2,1,2,S1E2,25.34,7.7,2014,August,22
3,1,3,S1E3,25.59,7.4,2014,August,22
4,1,4,S1E4,25.36,7.4,2014,August,22
5,1,5,S1E5,25.32,7.4,2014,August,22
6,1,6,S1E6,25.59,7.9,2014,August,22
7,1,7,S1E7,25.53,8,2014,August,22
8,1,8,S1E8,25.55,8.2,2014,August,22
9,1,9,S1E9,26.09,7.9,2014,August,22
10,1,10,S1E10,25.53,7.8,2014,August,22
11,1,11,S1E11,25.34,8.6,2014,August,22
12,1,12,S1E12,26.02,8.1,2014,August,22
13,2,1,S2E1,26.33,8,2015,July ,17
14,2,2,S2E2,26.07,7.9,2015,July ,17
15,2,3,S2E3,26.01,7.9,2015,July ,17
16,2,4,S2E4,26.25,8,2015,July ,17
17,2,5,S2E5,26.07,8,2015,July ,17
18,2,6,S2E6,26.03,7.7,2015,July ,17
19,2,7,S2E7,26.15,8.1,2015,July ,17
20,2,8,S2E8,25.59,8.2,2015,July ,17
21,2,9,S2E9,26.15,8.1,2015,July ,17
22,2,10,S2E10,26.15,8.2,2015,July ,17
23,2,11,S2E11,26.03,8.7,2015,July ,17
24,2,12,S2E12,26.05,8.1,2015,July ,17
25,3,1,S3E1,26.05,7.9,2016,July ,22
26,3,2,S3E2,26.1,8,2016,July ,22
27,3,3,S3E3,26.07,7.4,2016,July ,22
28,3,4,S3E4,26.21,9.1,2016,July ,22
29,3,5,S3E5,26.17,8.1,2016,July ,22
30,3,6,S3E6,26.03,8,2016,July ,22
31,3,7,S3E7,26.09,8.1,2016,July ,22
32,3,8,S3E8,26.17,7.9,2016,July ,22
33,3,9,S3E9,26.03,8.1,2016,July ,22
34,3,10,S3E10,27.07,8.2,2016,July ,22
35,3,11,S3E11,26.07,9,2016,July ,22
36,3,12,S3E12,26.27,8.3,2016,July ,22
37,4,1,S4E1,26.33,7.7,2017,September,8
38,4,2,S4E2,26.4,9.1,2017,September,8
39,4,3,S4E3,26.41,8.2,2017,September,8
40,4,4,S4E4,26.19,7.8,2017,September,8
41,4,5,S4E5,26.21,8.1,2017,September,8
42,4,6,S4E6,26.09,8.9,2017,September,8
43,4,7,S4E7,26.21,8.1,2017,September,8
44,4,8,S4E8,26.13,7.6,2017,September,8
45,4,9,S4E9,26.43,8.7,2017,September,8
46,4,10,S4E10,26.23,8.2,2017,September,8
47,4,11,S4E11,26.29,9.7,2017,September,8
48,4,12,S4E12,26.33,8.7,2017,September,8
49,5,1,S5E1,26.15,8,2018,September,14
50,5,2,S5E2,27.09,9,2018,September,14
51,5,3,S5E3,26.17,8.1,2018,September,14
52,5,4,S5E4,26.07,8.2,2018,September,14
53,5,5,S5E5,26.09,8.5,2018,September,14
54,5,6,S5E6,26.09,9.8,2018,September,14
55,5,7,S5E7,26.19,8.9,2018,September,14
56,5,8,S5E8,26.05,8.5,2018,September,14
57,5,9,S5E9,26.21,8.3,2018,September,14
58,5,10,S5E10,26.15,9,2018,September,14
59,5,11,S5E11,26.07,9.5,2018,September,14
60,5,12,S5E12,26.19,9.1,2018,September,14
61,6,1,S6E1,25.28,9.1,2020,October,25
62,6,2,S6E2,26.18,8.6,2020,October,25
63,6,3,S6E3,26.1,8.2,2020,October,25
64,6,4,S6E4,26.18,9,2020,October,25
65,6,5,S6E5,26.18,8.2,2020,October,25
66,6,6,S6E6,26.14,8.3,2020,October,25
67,6,7,S6E7,27.02,9.4,2020,October,25
68,6,8,S6E8,26.18,8.7,2020,October,25
69,6,9,S6E9,26.48,8.3,2020,January,31
70,6,10,S6E10,26.4,9,2020,January,31
71,6,11,S6E11,26.12,8.7,2020,January,31
72,6,12,S6E12,26.22,9.2,2020,January,31
73,6,13,S6E13,26.28,8.7,2020,January,31
74,6,14,S6E14,26.46,9,2020,January,31
75,6,15,S6E15,26.02,9.9,2020,January,31
76,6,16,S6E16,27.24,9.6,2020,January,31
